longitude,latitude,specimen_id,Node Name
47.590008,-15.407416,bissetiae_3,C_bissetiae
47.504282,-15.403732,bissetiae_6,C_bissetiae
47.549289,-15.487327,bissetiae_7,C_bissetiae
46.015711,-17.117819,perrieri_8,C_perrieri_A12
46.015693,-17.117573,perrieri_9,C_perrieri_A12
45.920397,-17.077081,pervilleana_10,C_pervilleana_A957
45.923007,-17.07882,pervilleana_11,C_pervilleana_A957
45.989986,-17.052635,perrieri_214,C_perrieri_A12
45.985053,-17.067958,perrieri_215,C_perrieri_A12
49.39833,-12.388317,boiviniana_218,C_boiviniana_A980
46.820657,-16.234735,bissetiae_219,C_bissetiae
46.778291,-16.139983,boinensis_220,C_boinensis
47.348442,-16.02418,boiviniana_221,C_boiviniana_A980
45.883351,-17.069855,boiviniana_222,C_boiviniana_A980
45.989,-17.06269,perrieri_224,C_perrieri_A12
45.893891,-17.154961,boiviniana_225,C_boiviniana_A980
47.709321,-14.999613,bissetiae_227,C_bissetiae
47.241667,-16.021247,boiviniana_228,C_boiviniana_A980
47.300588,-16.090702,boiviniana_229,C_boiviniana_A980
49.351671,-12.388863,mcphersonii_230,C_mcphersonii_A977
49.251716,-12.382886,tsirananae_231,C_tsirananae_A515
49.201458,-12.208129,boiviniana_232,C_boiviniana_A980
49.266346,-12.314212,tsirananae_233,C_tsirananae_A515
49.355849,-12.251702,tsirananae_234,C_tsirananae_A515
49.303872,-12.318289,heimii_235,C_heimii_A516
49.281018,-12.403209,tsirananae_236,C_tsirananae_A515
49.297935,-12.30587,tsirananae_237,C_tsirananae_A515
49.219958,-12.50737,tsirananae_238,C_tsirananae_A515
47.495654,-15.767105,bissetiae_239,C_bissetiae
49.349672,-12.917028,boiviniana_240,C_boiviniana_A980
47.781762,-14.79531,perrieri_242,C_perrieri_A12
49.322727,-12.338667,tsirananae_252,C_tsirananae_A515
49.3425,-12.396327,heimii_253,C_heimii_A516
49.2757,-12.398991,heimii_254,C_heimii_A516
49.549809,-12.580463,heimii_257,C_heimii_A516
49.300204,-12.374073,boiviniana_258,C_boiviniana_A980
49.319776,-12.348961,sahafaryensis_283,C_sahafaryensis_A978
49.322867,-12.37262,tsirananae_284,C_tsirananae_A515
49.286155,-12.355806,tsirananae_285,C_tsirananae_A515
49.251149,-12.267834,tsirananae_286,C_tsirananae_A515
49.389809,-12.366895,tsirananae_287,C_tsirananae_A515
49.202966,-12.221671,heimii_288,C_heimii_A516
49.398762,-12.38876,heimii_289,C_heimii_A516
49.352042,-12.383784,tsirananae_290,C_tsirananae_A515
49.331899,-12.343523,boiviniana_291,C_boiviniana_A980
49.306528,-12.355424,heimii_292,C_heimii_A516
49.387585,-12.322474,heimii_294,C_heimii_A516
49.24682,-12.370286,boiviniana_300,C_boiviniana_A980
46.672742,-16.32475,bissetiae_301,C_bissetiae
49.201725,-12.347115,tsirananae_302,C_tsirananae_A515
49.201402,-12.391143,ratsimamangae_303,C_ratsimamangae_A528
47.645882,-15.54911,humbertii_304,C_humbertii_RNF785
47.567887,-15.661652,humbertii_305,C_humbertii_RNF785
47.552669,-15.692281,bissetiae_306,C_bissetiae
49.233713,-12.257155,boiviniana_307,C_boiviniana_A980
49.380748,-17.500201,richardii_309,C_richardii_A575
47.52341,-18.947216,liaudii_310,C_liaudii_A1013
49.422757,-17.667906,richardii_312,C_richardii_A575
49.370938,-17.429905,richardii_313,C_richardii_A575
47.01973,-16.763061,perrieri_314,C_perrieri_A12
49.242218,-18.198825,richardii_316,C_richardii_A575
49.7904,-16.474388,millotii_383,C_millotii_A222
49.411718,-17.780204,richardii_384,C_richardii_A575
