NodeName,XOffset
C_vatovavyensis_A830,0.19
C_sahafaryensis_A978,0.18
C_ankaranensis_A525,0.17
C_perrieri_A12,0.135
C_leroyi_A315,0.12
C_homollei_A945,-0.36
C_costei_A956,-0.36
C_andrambovatensis_A310,-0.55
C_vianneyi_A946,-0.346
C_resinosa_A8,-0.346
C_montis-sacri_A321,-0.32
C_arenesiana_A403,-0.57
C_kianjavatensis_A602,-0.56
C_bertrandii_A5,-0.60
C_richardii_A575,-0.61
C_farafanganensis_A208,-0.56
C_abbayesii_A601,-0.61
C_millotii_A222,-0.615
C_dolichophylla_A206,-0.59
C_ambodirianensis_A572,-0.57
C_jumellei_A974,-0.32
C_tsirananae_A515,-0.28
C_humblotiana_BM19_20,-0.27
C_mogeneti_A975,-0.58
C_heimii_A516,-0.591
C_dubardii_A969,-0.596
C_ratsimamangae_A528,-0.482
C_lancifolia_A320,-0.50
C_tetragona_A252,-0.445
Tricalysia,-0.18
C_labatii_APD3096,-0.32
C_kihansiensis_APD2922,-0.49
C_humbertii_RNF785,-0.64
C_pervilleana_A957,-0.68
C_mcphersonii_A977,-0.68
C_augagneuri_A966,-0.765
C_macrocarpa-PET,-0.6
C_myrtifolia_MBR_A9,-0.54
C_mauritiana_BM17_25,-0.51
C_mauritiana_Makes4,-0.545
C_bernardiniana_MDC,-0.549
C_bissetiae,-0.76
C_boinensis,-0.75
C_ambongensis,-0.74
C_sakarahae_A304,-0.59
C_liaudii_A1013,-0.585
C_bonnieri_A535,-0.72
C_boiviniana_A980,-0.715
