,node_name,key
0,C_abbayesii_A601,abbayesii
1,C_ambodirianensis_A572,ambodirianensis
2,C_ambongensis,ambongensis
3,C_andrambovatensis_A310,andrambovatensis
4,C_ankaranensis_A525,ankaranensis
5,C_arenesiana_A403,arenesiana
6,C_augagneuri_A966,augagneuri
7,C_bernardiniana_MDC,bernardiniana
8,C_bertrandii_A5,bertrandii
9,C_bissetiae,bissetiae
10,C_boinensis,boinensis
11,C_boiviniana_A980,boiviniana
12,C_bonnieri_A535,bonnieri
13,C_costei_A956,costei
14,C_dolichophylla_A206,dolichophylla
15,C_dubardii_A969,dubardii
16,C_farafanganensis_A208,farafanganensis
17,C_heimii_A516,heimii
18,C_homollei_A945,homollei
19,C_humbertii_RNF785,humbertii
20,C_humblotiana_BM19_20,humblotiana_BM19
21,C_jumellei_A974,jumellei
22,C_kianjavatensis_A602,kianjavatensis
23,C_kihansiensis_APD2922,kihansiensis
24,C_labatii_APD3096,labatii
25,C_lancifolia_A320,lancifolia
26,C_leroyi_A315,leroyi
27,C_liaudii_A1013,liaudii
28,C_macrocarpa-PET,macrocarpa-PET
29,C_mauritiana_BM17_25,mauritiana_BM17
30,C_mauritiana_Makes4,mauritiana
31,C_mcphersonii_A977,mcphersonii
32,C_millotii_A222,millotii
33,C_mogeneti_A975,mogeneti
34,C_montis-sacri_A321,montis-sacri
35,C_myrtifolia_MBR_A9,myrtifolia_MBR
36,C_perrieri_A12,perrieri
37,C_pervilleana_A957,pervilleana
38,C_ratsimamangae_A528,ratsimamangae
39,C_resinosa_A8,resinosa
40,C_richardii_A575,richardii
41,C_sahafaryensis_A978,sahafaryensis
42,C_sakarahae_A304,sakarahae
43,C_tetragona_A252,tetragona
44,Tricalysia,Tricalysia
45,C_tsirananae_A515,tsirananae
46,C_vatovavyensis_A830,vatovavyensis
47,C_vianneyi_A946,vianneyi
